no,profile_id,profile_name,profile_link,profile_affiliations,profile_email,profile_interests,first_publication_year,total_number_publications,profile_cited_by_count,h_index,i10_index,number_publications_percentile,number_publications_rank,citation_count_percentile,citation_count_rank,hindex_percentile,hindex_rank
17,VJeJSyAAAAAJ,Xiao Wu,https://scholar.google.com/citations?hl=en&user=VJeJSyAAAAAJ,Columbia University,Verified email at mail.harvard.edu,"c(""Causal Inference"", ""Biostatistics"", ""Data Science"", ""Machine Learning"", ""Climate and Health"")",2017,46,3212,16,19,99.29,Top 0.7%,99.88,Top 0.1%,99.69,Top 0.3%
18,S8dU8BoAAAAJ,Dana Warmsley,https://scholar.google.com/citations?hl=en&user=S8dU8BoAAAAJ,HRL Laboratories,Verified email at hrl.com,"c(""Applied Mathematics"", ""Data Science"", ""Computational Sociology"", ""Machine Learning"", ""Hate Speech and Abusive Language …"")",2017,17,3188,4,3,93.33,Top 7%,99.88,Top 0.1%,87.94,Top 12%
19,QdGmki8AAAAJ,Lynne Krohn,https://scholar.google.com/citations?hl=en&user=QdGmki8AAAAJ,McGill University,Verified email at mail.mcgill.ca,"c(""Genomics"", ""Neuroscience"", ""Data Science"")",2018,74,3093,24,34,99.85,Top 0.2%,99.87,Top 0.1%,99.93,Top 0.1%
20,Q1LOeA0AAAAJ,"Fabian Kern, Ph.D.",https://scholar.google.com/citations?hl=en&user=Q1LOeA0AAAAJ,Helmholtz Institute for Pharmaceutical Research Saarland,Verified email at helmholtz-hips.de,"c(""Bioinformatics"", ""Machine Learning"", ""Data Science"", ""Neuroscience"", ""Infection"")",2017,50,2922,24,34,99.42,Top 0.6%,99.86,Top 0.1%,99.93,Top 0.1%
21,B_dGtHQAAAAJ,Furqan Rustam,https://scholar.google.com/citations?hl=en&user=B_dGtHQAAAAJ,School of Computer Science,Verified email at umt.edu.pk,"c(""Data Science"", ""Artificial Intelligence"", ""Machine Learning"", ""Data Mining"", ""Bioinformatics"")",2019,116,2873,26,56,99.94,Top 0.1%,99.85,Top 0.2%,99.95,Top 0.01%
22,atVAWRMAAAAJ,Neal G. Ravindra,https://scholar.google.com/citations?hl=en&user=atVAWRMAAAAJ,Independent ML Researcher in Industry,Verified email at newlimit.com,"c(""deep learning"", ""data science"", ""computational biology"", ""explainable AI"")",2018,67,2798,20,27,99.73,Top 0.3%,99.84,Top 0.2%,99.85,Top 0.2%
23,Kz0SLBQAAAAJ,Alexis Fouilloy,https://scholar.google.com/citations?hl=en&user=Kz0SLBQAAAAJ,"Ph.D., University of Corsica",Verified email at univ-corse.fr,"c(""Energie solaire"", ""Intelligence artificielle"", ""Data science"")",2017,30,2766,12,12,98.07,Top 2%,99.84,Top 0.2%,99.3,Top 0.7%
24,OjPORqkAAAAJ,Efren Olguin,https://scholar.google.com/citations?hl=en&user=OjPORqkAAAAJ,"Student, University of Illinois",Verified email at illinois.edu,"c(""Data science"", ""healthcare"")",2017,1,2749,1,1,22.01,Top 78%,99.83,Top 0.2%,51.58,Top 48%
25,GYLvCUMAAAAJ,Diptaparna Biswas,https://scholar.google.com/citations?hl=en&user=GYLvCUMAAAAJ,University of Louisville,Verified email at louisville.edu,"c(""Particle Physics"", ""Quantum Mechanics"", ""Machine Learning"", ""Data Science"", ""Computer Science"")",2019,116,2726,29,45,99.94,Top 0.1%,99.82,Top 0.2%,99.98,Top 0.01%
26,1EMOEqQAAAAJ,Qinbin Li,https://scholar.google.com/citations?hl=en&user=1EMOEqQAAAAJ,"Postdoc, Computer Science, UC Berkeley",Verified email at berkeley.edu,"c(""Machine Learning"", ""Systems"", ""Data Science"", ""Federated Learning"", ""Privacy"")",2018,26,2656,13,14,97.32,Top 3%,99.81,Top 0.2%,99.45,Top 0.5%
27,ipJb8qcAAAAJ,Kai Fukami,https://scholar.google.com/citations?hl=en&user=ipJb8qcAAAAJ,"University of California, Los Angeles",Verified email at g.ucla.edu,"c(""Turbulence"", ""Data Science"")",2018,65,2501,19,23,99.69,Top 0.3%,99.81,Top 0.2%,99.84,Top 0.2%
28,O-7vhhEAAAAJ,Andi Nurkholis,https://scholar.google.com/citations?hl=en&user=O-7vhhEAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,"c(""Data Science"", ""Spatial Data Science"", ""Software Engineering"")",2017,44,2455,21,25,99.22,Top 0.8%,99.8,Top 0.2%,99.88,Top 0.1%
29,2I-lM40AAAAJ,Iacopo Iacopini,https://scholar.google.com/citations?hl=en&user=2I-lM40AAAAJ,"Assistant Professor, Network Science Institute, Northeastern University London",Verified email at nulondon.ac.uk,"c(""Complex Systems and Networks"", ""Data Science"", ""Science of Cities"")",2018,30,2413,13,16,98.07,Top 2%,99.79,Top 0.2%,99.45,Top 0.5%
30,ShRQGYMAAAAJ,Hamed Nilforoshan,https://scholar.google.com/citations?hl=en&user=ShRQGYMAAAAJ,"Computer Science, Stanford University",Verified email at cs.stanford.edu,"c(""Machine Learning"", ""Data Science"", ""Causal Inference"", ""Healthcare"", ""Inequality"")",2018,9,2391,6,5,81.16,Top 19%,99.78,Top 0.2%,94.89,Top 5%
31,b17WlbMAAAAJ,Francesco Pierri,https://scholar.google.com/citations?hl=en&user=b17WlbMAAAAJ,"Assistant Professor, DEIB - Politecnico di Milano",Verified email at polimi.it,"c(""Computational Social Science"", ""Data Science"", ""Misinformation"", ""Network Science"", ""Online Social Networks"")",2018,42,2345,17,20,99.13,Top 0.9%,99.77,Top 0.2%,99.73,Top 0.3%
32,5p7ma7IAAAAJ,Frederic Jonske,https://scholar.google.com/citations?hl=en&user=5p7ma7IAAAAJ,"University Hospital Essen, Institute for Artificial Intelligence in Medicine (IKIM)",Verified email at uk-essen.de,"c(""Astrophysics"", ""Data Science"", ""Machine Learning"")",2019,43,2310,21,29,99.18,Top 0.8%,99.77,Top 0.2%,99.88,Top 0.1%
33,Ko_EmGEAAAAJ,MAZHAR JAVED AWAN,https://scholar.google.com/citations?hl=en&user=Ko_EmGEAAAAJ,"Assistant Professor Department of Software Engineering, University of Management and …",Verified email at umt.edu.pk,"c(""Data Science"", ""Big Data"", ""Machine Learning"", ""Deep Learning"", ""Natural Language Processing"")",2018,59,2165,30,42,99.61,Top 0.4%,99.76,Top 0.2%,99.98,Top 0.01%
34,pNiqz8kAAAAJ,Raphael Sonabend,https://scholar.google.com/citations?hl=en&user=pNiqz8kAAAAJ,Imperial College London,Verified email at imperial.ac.uk,"c(""machine learning"", ""statistics"", ""data science"", ""survival analysis"")",2018,37,2041,9,8,98.81,Top 1%,99.74,Top 0.3%,98.31,Top 2%
35,KomQOFkAAAAJ,Lei Feng,https://scholar.google.com/citations?hl=en&user=KomQOFkAAAAJ,Nanyang Technological University,Verified email at ntu.edu.sg,"c(""Machine Learning"", ""Data Science"", ""Statistics"")",2017,73,2007,17,31,99.83,Top 0.2%,99.73,Top 0.3%,99.73,Top 0.3%
36,UlDlrWAAAAAJ,Yuda Irawan,https://scholar.google.com/citations?hl=en&user=UlDlrWAAAAAJ,Universitas Hang Tuah Pekanbaru,Verified email at htp.ac.id,"c(""Software Engineering"", ""IoT"", ""Data Science"", ""Artificial Intelligence"")",2017,123,1941,29,50,99.95,Top 0.01%,99.73,Top 0.3%,99.98,Top 0.01%
