no,profile_id,profile_name,profile_link,profile_affiliations,profile_email,profile_interests,first_publication_year,total_number_publications,profile_cited_by_count,h_index,i10_index,number_publications_percentile,number_publications_rank,citation_count_percentile,citation_count_rank,hindex_percentile,hindex_rank
3531,2mkGLxEAAAAJ,Shubham Virmani,https://scholar.google.com/citations?hl=en&user=2mkGLxEAAAAJ,Carnegie Mellon University,Verified email at andrew.cmu.edu,"c(""Machine Learning"", ""Data Science"", ""Recommendation Systems"", ""Information Retrieval"")",2019,1,37,1,1,22.01,Top 78%,72.17,Top 28%,51.58,Top 48%
3532,rUOq6EoAAAAJ,Jarray Noureddine,https://scholar.google.com/citations?hl=en&user=rUOq6EoAAAAJ,"Laboratory  of  Eremology  and  Combating  Desertification,Instiut des Régions Arides et …",Verified email at ira.rnrt.tn,"c(""Machine Learning"", ""Deep Learning"", ""Remote Sensing"", ""Data science"")",2021,10,37,4,0,83.8,Top 16%,72.17,Top 28%,87.94,Top 12%
3533,9KaEAL8AAAAJ,YAHIA MAZZI,https://scholar.google.com/citations?hl=en&user=9KaEAL8AAAAJ,"Faculty of Sciences and Technologies Sidi Mohammed Ben Abdellah University, Fez …",Verified email at usmba.ac.ma,"c(""embedded systems"", ""Battery management system"", ""electric vehicle"", ""data science"")",2019,9,37,3,2,81.16,Top 19%,72.17,Top 28%,81.33,Top 19%
3534,ptIlFDgAAAAJ,Abu Tareq Rony,https://scholar.google.com/citations?hl=en&user=ptIlFDgAAAAJ,"Student at Department of Statistics, Noakhali Science and Technology University.",Verified email at student.nstu.edu.bd,"c(""Data Science"", ""Statistcs and Machine Learning"")",2021,10,37,3,2,83.8,Top 16%,72.17,Top 28%,81.33,Top 19%
3535,2wk4uFoAAAAJ,M Hemalatha,https://scholar.google.com/citations?hl=en&user=2wk4uFoAAAAJ,"Professor,RMK Engineering College(Autonomous)",Verified email at rmkec.ac.in,"c(""data science"", ""machine learning"", ""computational biology"", ""health analytics"", ""high performance computing"")",2017,10,37,3,1,83.8,Top 16%,72.17,Top 28%,81.33,Top 19%
3536,hyDk3A4AAAAJ,Fiqhri Mulianda Putra,https://scholar.google.com/citations?hl=en&user=hyDk3A4AAAAJ,,,"c(""Data Science"", ""Data Analytics"", ""Data Engineering"", ""Machine Learning"")",2017,11,37,4,1,85.98,Top 14%,72.17,Top 28%,87.94,Top 12%
3537,MdqaW-oAAAAJ,mathieu genu,https://scholar.google.com/citations?hl=en&user=MdqaW-oAAAAJ,"design engineer, PELAGIS UAR3462 CNRS Université de la Rochelle",Verified email at univ-lr.fr,"c(""data science"", ""ecology"", ""management"")",2017,11,37,3,1,85.98,Top 14%,72.17,Top 28%,81.33,Top 19%
3538,yUKKCuEAAAAJ,Otto Kißig,https://scholar.google.com/citations?hl=en&user=yUKKCuEAAAAJ,"Hasso Plattner Institute, University of Potsdam",Verified email at student.hpi.de,"c(""Machine Learning"", ""Deep Learning"", ""Artificial Intelligence"", ""Data Science"", ""Modern Hardware"")",2020,9,37,3,1,81.16,Top 19%,72.17,Top 28%,81.33,Top 19%
3539,q4gsMAkAAAAJ,Nadia Fazal,https://scholar.google.com/citations?hl=en&user=q4gsMAkAAAAJ,"Mechanical engineering student, JMI, New Delhi",,"c(""Data analytics"", ""Data science"")",2022,1,37,1,1,22.01,Top 78%,72.17,Top 28%,51.58,Top 48%
3540,9DWs9TAAAAAJ,Luis Polanco,https://scholar.google.com/citations?hl=en&user=9DWs9TAAAAAJ,Michigan State University,Verified email at msu.edu,"c(""Topological Data Analysis"", ""Machine Learning"", ""Data Science"")",2019,4,37,3,2,58.06,Top 42%,72.17,Top 28%,81.33,Top 19%
3541,B68oXfkAAAAJ,Rui Ribeiro,https://scholar.google.com/citations?hl=en&user=B68oXfkAAAAJ,Centro de Computação Gráfica- Universidade do Minho,Verified email at alunos.uminho.pt,"c(""Data Science"", ""Machine Learning"", ""Modern Optimization"", ""Software Engineering"")",2020,7,37,2,2,74.25,Top 26%,72.17,Top 28%,70.49,Top 30%
3542,3nfm1N8AAAAJ,Abdul Rahman Shaikh,https://scholar.google.com/citations?hl=en&user=3nfm1N8AAAAJ,Northern Illinois University,Verified email at students.niu.edu,"c(""Data Science"", ""Machine Learning"", ""Visual Analytics"", ""Human Computer Interaction"")",2019,7,37,4,1,74.25,Top 26%,72.17,Top 28%,87.94,Top 12%
3543,xBl6SXYAAAAJ,Angel Luis Catagua Gonzalez,https://scholar.google.com/citations?hl=en&user=xBl6SXYAAAAJ,Técnico de Investigación de la Escuela Superior Politécnica del Litoral (ROR 04qenc566) …,Verified email at espol.edu.ec,"c(""data science"", ""biostatistics"", ""artificial intelligence"", ""statistical models"", ""statistical learning"")",2020,4,37,2,1,58.06,Top 42%,72.17,Top 28%,70.49,Top 30%
3544,Vy_sw5UAAAAJ,Palash Ranjan Roy,https://scholar.google.com/citations?hl=en&user=Vy_sw5UAAAAJ,University of Saskatchewan,Verified email at usask.ca,"c(""SE4AI"", ""Software Engineering"", ""Software Clone"", ""Language Model"", ""Data Science"")",2020,7,37,1,1,74.25,Top 26%,72.17,Top 28%,51.58,Top 48%
3545,MOjX-RIAAAAJ,Domenico Mandaglio,https://scholar.google.com/citations?hl=en&user=MOjX-RIAAAAJ,"Postdoctoral Researcher, University of Calabria",Verified email at dimes.unical.it,"c(""Data Science"", ""Algorithms"", ""Machine Learning"")",2018,16,37,3,1,92.47,Top 8%,72.17,Top 28%,81.33,Top 19%
3546,BHND7j4AAAAJ,Yurun Yang,https://scholar.google.com/citations?hl=en&user=BHND7j4AAAAJ,Research Fellow,Verified email at coventry.ac.uk,"c(""Data Science"", ""Quantitative Finance"", ""Empirical Finance"", ""Econometrics"")",2017,5,37,3,2,64.55,Top 35%,72.17,Top 28%,81.33,Top 19%
3547,JUWUDqcAAAAJ,Tala Abdallah,https://scholar.google.com/citations?hl=en&user=JUWUDqcAAAAJ,"PhD student, University of Angers",Verified email at net.usj.edu.lb,"c(""Data Science"", ""Signal Processing"")",2022,1,37,1,1,22.01,Top 78%,72.17,Top 28%,51.58,Top 48%
3548,oHVA-5oAAAAJ,Rana Muhammad Tahir,https://scholar.google.com/citations?hl=en&user=oHVA-5oAAAAJ,Education Department,Verified email at trendexsports.com,"c(""Computer"", ""Artificial Intelligence"", ""Data Science"", ""Machine Learning"", ""Education"")",2017,15,37,4,0,91.49,Top 9%,72.17,Top 28%,87.94,Top 12%
3549,BJ1gOXUAAAAJ,Lucky Koryanto,https://scholar.google.com/citations?hl=en&user=BJ1gOXUAAAAJ,Tama Jagakarsa University,,"c(""Data Science"", ""Data Analytics"", ""BI Dashboard Designer"", ""Java Desktop/Mobile"", ""Python"")",2022,13,37,3,1,89.04,Top 11%,72.17,Top 28%,81.33,Top 19%
3550,XwtwmJYAAAAJ,Raju Shrestha,https://scholar.google.com/citations?hl=en&user=XwtwmJYAAAAJ,University of Agder,Verified email at uia.no,"c(""Machine learning"", ""Deep Learning"", ""Data Science"", ""UAV communications"", ""Signal Processing."")",2020,11,37,2,2,85.98,Top 14%,72.17,Top 28%,70.49,Top 30%
3551,VqH4UL8AAAAJ,Christopher Chukwufunaya Odiakaose,https://scholar.google.com/citations?hl=en&user=VqH4UL8AAAAJ,"Dennis Osadebay University, Anwai-Asaba",Verified email at dou.edu.ng,"c(""Data Science"", ""Machine Learning"")",2021,12,37,4,1,87.74,Top 12%,72.17,Top 28%,87.94,Top 12%
3552,p4SLgUIAAAAJ,Chaitra PC,https://scholar.google.com/citations?hl=en&user=p4SLgUIAAAAJ,"Assistant Professor of Computer Science and Engineering, Christ University",Verified email at christuniversity.in,"c(""Data Science"", ""Data Mining"", ""Big Data"", ""Machine Learning"")",2018,3,37,1,1,49.22,Top 51%,72.17,Top 28%,51.58,Top 48%
3553,9THMvGQAAAAJ,Imdadul Haque,https://scholar.google.com/citations?hl=en&user=9THMvGQAAAAJ,"BSc in CSE, Daffodil International University",Verified email at diu.edu.bd,"c(""AI"", ""Data Science"", ""Machine Learning"", ""Deep Learning"", ""IoT"")",2020,6,37,3,1,70.14,Top 30%,72.17,Top 28%,81.33,Top 19%
3554,DS-_p5UAAAAJ,Satyanarayana Nimmala,https://scholar.google.com/citations?hl=en&user=DS-_p5UAAAAJ,"Associate Professor, Dept. of AI & DS, Chaitanya Bharathi Institute of Technology …",Verified email at cbit.ac.in,"c(""Data Science"", ""Machine Learning"", ""Programming"")",2018,12,37,3,1,87.74,Top 12%,72.17,Top 28%,81.33,Top 19%
3555,APspKoIAAAAJ,Faris H.Rizk,https://scholar.google.com/citations?hl=en&user=APspKoIAAAAJ,"Computer Science and Intelligent Systems Research Center, Blacksburg 24060, Virginia …",Verified email at jcsis.org,"c(""Machine Learning"", ""AI"", ""Data Science"", ""Classification"", ""Regression"")",2023,3,37,1,1,49.22,Top 51%,72.17,Top 28%,51.58,Top 48%
3556,yYQtyggAAAAJ,Luis Llerena Sierra,https://scholar.google.com/citations?hl=en&user=yYQtyggAAAAJ,,Verified email at cuc.edu.co,"c(""Transportation"", ""Machine Learning"", ""Micromobility"", ""Smart mobility"", ""Data Science"")",2023,1,36,1,1,22.01,Top 78%,71.71,Top 28%,51.58,Top 48%
3557,oiE5qLcAAAAJ,Haraldur Tómas Hallgrímsson,https://scholar.google.com/citations?hl=en&user=oiE5qLcAAAAJ,"Applied Research Scientist, Apple",Verified email at apple.com,"c(""Data Science"", ""Network Science"", ""Data Mining"", ""Computational Neuroscience"", ""Machine Learning"")",2017,8,36,4,1,78.01,Top 22%,71.71,Top 28%,87.94,Top 12%
3558,AIDKHXAAAAAJ,Shangjie Xu,https://scholar.google.com/citations?hl=en&user=AIDKHXAAAAAJ,"University of California, Riverside",Verified email at ucr.edu,"c(""Statistics"", ""Data Science"")",2017,3,36,2,1,49.22,Top 51%,71.71,Top 28%,70.49,Top 30%
3559,KSwMFXEAAAAJ,Sara Siddig Ali Abdalla,https://scholar.google.com/citations?hl=en&user=KSwMFXEAAAAJ,University of Khartoum,Verified email at uofk.edu,"c(""Innovation"", ""Entrepreneurship"", ""Supply Chain Management"", ""Analytics"", ""Data Science"")",2020,6,36,2,2,70.14,Top 30%,71.71,Top 28%,70.49,Top 30%
3560,7_DHll8AAAAJ,Jorge Bendahan,https://scholar.google.com/citations?hl=en&user=7_DHll8AAAAJ,,Verified email at post.bgu.ac.il,"c(""Machine Learning"", ""Data Science"")",2017,5,36,3,1,64.55,Top 35%,71.71,Top 28%,81.33,Top 19%
3561,XqCs43sAAAAJ,Sakil Ansari,https://scholar.google.com/citations?hl=en&user=XqCs43sAAAAJ,Post Graduation in Machine Learnning,,"c(""Machine Learning"", ""Data Science"", ""Image Processing"", ""Speech"", ""Pattern Recognition"")",2017,7,36,1,1,74.25,Top 26%,71.71,Top 28%,51.58,Top 48%
3562,_T169DQAAAAJ,Tim Lim,https://scholar.google.com/citations?hl=en&user=_T169DQAAAAJ,Boston University,Verified email at bu.edu,"c(""graph theory"", ""data science"", ""information retrieval"")",2018,3,36,2,2,49.22,Top 51%,71.71,Top 28%,70.49,Top 30%
3563,ITgSJosAAAAJ,rashmi tripathi,https://scholar.google.com/citations?hl=en&user=ITgSJosAAAAJ,University of Missouri-Kansas City,Verified email at mail.umkc.edu,"c(""Data science"", ""Machine Learning"", ""Artificial Intelligence"", ""Data analysis"", ""Data mining"")",2018,2,36,1,1,38.05,Top 62%,71.71,Top 28%,51.58,Top 48%
3564,NKqQVicAAAAJ,Aditya Guru,https://scholar.google.com/citations?hl=en&user=NKqQVicAAAAJ,IIT Delhi,,"c(""Machine Learning"", ""Data Science"", ""Graph Databases"", ""Artificial Intelligence"")",2018,3,36,3,2,49.22,Top 51%,71.71,Top 28%,81.33,Top 19%
3565,tow0N3IAAAAJ,Mitchell D Johnson,https://scholar.google.com/citations?hl=en&user=tow0N3IAAAAJ,The Boeing Company,Verified email at boeing.com,"c(""Robotics"", ""Controls"", ""Data Science"")",2017,4,36,3,2,58.06,Top 42%,71.71,Top 28%,81.33,Top 19%
3566,NbbQmeEAAAAJ,Ali Emadi,https://scholar.google.com/citations?hl=en&user=NbbQmeEAAAAJ,"Postdoctoral Researcher, Arc Institute",Verified email at arcinstitute.org,"c(""Computational Biology"", ""ML"", ""AI"", ""Data Science"")",2018,5,36,3,3,64.55,Top 35%,71.71,Top 28%,81.33,Top 19%
3567,ZbqJ7KoAAAAJ,Mainak Chain,https://scholar.google.com/citations?hl=en&user=ZbqJ7KoAAAAJ,"Software Engineer, Google",Verified email at google.com,"c(""Data Science"", ""Machine Learning"", ""Reinforcement Learning"", ""NLP"", ""Explainable AI"")",2018,3,36,2,2,49.22,Top 51%,71.71,Top 28%,70.49,Top 30%
3568,9R_NScgAAAAJ,Gerrit Jan de Bruin,https://scholar.google.com/citations?hl=en&user=9R_NScgAAAAJ,"Environmental scientist, TNO",Verified email at liacs.leidenuniv.nl,"c(""Network Science"", ""Data Science"", ""Government"", ""Mobility"")",2017,13,36,4,0,89.04,Top 11%,71.71,Top 28%,87.94,Top 12%
3569,gVfi8YYAAAAJ,Syed Ali Jafar Zaidi,https://scholar.google.com/citations?hl=en&user=gVfi8YYAAAAJ,"Khwaja Fareed University of Engineering and IT, Rahim Yar Khan.",Verified email at kfueit.edu.pk,"c(""Information Retrieval"", ""Data Science"", ""Text Mining"", ""Mobile Application"", ""Machine Learning"")",2019,5,36,4,1,64.55,Top 35%,71.71,Top 28%,87.94,Top 12%
3570,zBKKy8UAAAAJ,Rajasundari T,https://scholar.google.com/citations?hl=en&user=zBKKy8UAAAAJ,R&D - Delta Electronics,,"c(""IoT"", ""Wireless sensor Network"", ""Data Science"")",2017,5,36,2,2,64.55,Top 35%,71.71,Top 28%,70.49,Top 30%
3571,U4MeMYgAAAAJ,Siddharth Divi,https://scholar.google.com/citations?hl=en&user=U4MeMYgAAAAJ,Applied Scientist @ Amazon,Verified email at amazon.com,"c(""Machine Learning"", ""Deep Learning"", ""Data Science"")",2018,5,36,3,2,64.55,Top 35%,71.71,Top 28%,81.33,Top 19%
3572,l6BBGj4AAAAJ,Sourou MEATCHI,https://scholar.google.com/citations?hl=en&user=l6BBGj4AAAAJ,GRANEM Université d'Angers,Verified email at univ-angers.fr,"c(""revenue management"", ""pricing"", ""WTP"", ""data science"", ""Tourism"")",2017,16,36,3,1,92.47,Top 8%,71.71,Top 28%,81.33,Top 19%
3573,vnLK_FwAAAAJ,Min-Bin Lin,https://scholar.google.com/citations?hl=en&user=vnLK_FwAAAAJ,Karlsruhe Institute of Technology,Verified email at kit.edu,"c(""Time series analysis"", ""Blockchain and cryptos"", ""Data science"", ""Econometrics"")",2019,11,36,4,2,85.98,Top 14%,71.71,Top 28%,87.94,Top 12%
3574,_m_da78AAAAJ,Adnane GUETTAF,https://scholar.google.com/citations?hl=en&user=_m_da78AAAAJ,"Software Engineer, Phd in HCI",Verified email at uphf.fr,"c(""Software engineering"", ""Human-computer Interaction"", ""Data science"", ""Security"")",2019,6,36,3,1,70.14,Top 30%,71.71,Top 28%,81.33,Top 19%
3575,XD8n1IgAAAAJ,Adebayo Oshingbesan,https://scholar.google.com/citations?hl=en&user=XD8n1IgAAAAJ,University of Ibadan,Verified email at ibm.com,"c(""Data Science"", ""Machine Learning"", ""Energy"", ""Behavioral Psychology"", ""Economics"")",2019,11,36,2,1,85.98,Top 14%,71.71,Top 28%,70.49,Top 30%
3576,uSbQZzUAAAAJ,Frederick Edem Broni,https://scholar.google.com/citations?hl=en&user=uSbQZzUAAAAJ,"Lecturer, University of Mine & Technology, Tarkwa",Verified email at umat.edu.gh,"c(""Blockchain"", ""Cryptocurrencies"", ""Cloud Computing"", ""Data science"", ""Computer/Online Security and Privacy and E …"")",2019,8,36,4,0,78.01,Top 22%,71.71,Top 28%,87.94,Top 12%
3577,O7kIDF0AAAAJ,Sergio Palomo,https://scholar.google.com/citations?hl=en&user=O7kIDF0AAAAJ,"PhD Student, Cornell University",Verified email at cornell.edu,"c(""Queuing Theory"", ""Machine Learning"", ""Deep Learning"", ""Data Science"")",2020,7,36,4,1,74.25,Top 26%,71.71,Top 28%,87.94,Top 12%
3578,IH6gZCsAAAAJ,Muhammad Shofi Fu'ad,https://scholar.google.com/citations?hl=en&user=IH6gZCsAAAAJ,,,"c(""Education system"", ""Theoretical mathematic"", ""Medical image processing"", ""Artificial intelligence"", ""Data science"")",2019,5,36,2,2,64.55,Top 35%,71.71,Top 28%,70.49,Top 30%
3579,6vk2peUAAAAJ,Hary Sabita,https://scholar.google.com/citations?hl=en&user=6vk2peUAAAAJ,"Dosen Teknik Informatika, Institut Informatika Dan Bisnis Darmajaya",Verified email at darmajaya.ac.id,"c(""data science"", ""artificial intelligence"")",2018,12,36,4,1,87.74,Top 12%,71.71,Top 28%,87.94,Top 12%
3580,b3Sed68AAAAJ,Tushar Sarkar,https://scholar.google.com/citations?hl=en&user=b3Sed68AAAAJ,"Student Indian Institute of Management, Calcutta",Verified email at somaiya.edu,"c(""Data Science"", ""Machine Learning"", ""Deep Learning"", ""Natural Language Processing"")",2021,5,36,3,2,64.55,Top 35%,71.71,Top 28%,81.33,Top 19%
3581,#NAME?,Md Hasanul Aziz,https://scholar.google.com/citations?hl=en&user=-d2BniUAAAAJ,"Software Engineer, Google LLC",Verified email at marquette.edu,"c(""Machine Learning"", ""Bioinformatics"", ""Data Science"")",2021,3,36,2,1,49.22,Top 51%,71.71,Top 28%,70.49,Top 30%
3582,vAbtp5QAAAAJ,Mobarak Abumohsen,https://scholar.google.com/citations?hl=en&user=vAbtp5QAAAAJ,Arab American University,Verified email at student.aaup.edu,"c(""Data Science"", ""Machine Learning"", ""Deep Learning"", ""Data analytics"")",2021,3,36,2,1,49.22,Top 51%,71.71,Top 28%,70.49,Top 30%
3583,8t2MIfIAAAAJ,Yavar Jarrah Nezhad,https://scholar.google.com/citations?hl=en&user=8t2MIfIAAAAJ,"Associate Professor, Universidad de La Sabana",Verified email at unisabana.edu.co,"c(""Data Science"", ""Strategic management (digital transformation …"", ""Management of Information Systems"", ""Artificial In"")",2020,2,36,2,2,38.05,Top 62%,71.71,Top 28%,70.49,Top 30%
3584,ZZvjcdAAAAAJ,Pushkar Khairnar,https://scholar.google.com/citations?hl=en&user=ZZvjcdAAAAAJ,Michigan Technological University,Verified email at mtu.edu,"c(""Machine Learning"", ""Computer Vision"", ""Data Science"")",2018,5,36,2,1,64.55,Top 35%,71.71,Top 28%,70.49,Top 30%
3585,ekORysoAAAAJ,Maciej Rosoł,https://scholar.google.com/citations?hl=en&user=ekORysoAAAAJ,Politechnika Warszawska,Verified email at pw.edu.pl,"c(""Biomedical engineering"", ""data science"", ""causality"", ""signal processing"", ""machine learning"")",2019,11,36,3,1,85.98,Top 14%,71.71,Top 28%,81.33,Top 19%
3586,v0lgPK0AAAAJ,Simon David Lindner,https://scholar.google.com/citations?hl=en&user=v0lgPK0AAAAJ,"Medical University of Vienna, Complexity Science Hub VIenna",Verified email at meduniwien.ac.at,"c(""Complex Systems"", ""Data Science"")",2020,12,36,4,1,87.74,Top 12%,71.71,Top 28%,87.94,Top 12%
3587,FO8WJ8IAAAAJ,Jitendra Kumar,https://scholar.google.com/citations?hl=en&user=FO8WJ8IAAAAJ,"CSE, NIT Rourkela",Verified email at nitrkl.ac.in,"c(""Data Science"", ""Data mining"", ""Recommender System"")",2021,15,36,3,2,91.49,Top 9%,71.71,Top 28%,81.33,Top 19%
3588,GpVJzeAAAAAJ,Gianluca Manca,https://scholar.google.com/citations?hl=en&user=GpVJzeAAAAAJ,"Externer Doktorand, Helmut-Schmidt-Universität Hamburg",,"c(""Engineering"", ""Computer Science"", ""Alarm Management"", ""Data Science"", ""Machine Learning"")",2020,13,36,3,2,89.04,Top 11%,71.71,Top 28%,81.33,Top 19%
3589,ZsygTisAAAAJ,Justin Snider,https://scholar.google.com/citations?hl=en&user=ZsygTisAAAAJ,"Senior Software Developer, Esri",Verified email at esri.com,"c(""artificial intelligence"", ""machine learning"", ""data science"")",2022,1,36,1,1,22.01,Top 78%,71.71,Top 28%,51.58,Top 48%
3590,NUzynToAAAAJ,Priya Ravindran,https://scholar.google.com/citations?hl=en&user=NUzynToAAAAJ,"R&D Engineer, HCL Technologies (Engineering and Research Services), India",Verified email at hcl.com,"c(""Machine Learning"", ""Data Science"", ""Big Data Analytics"")",2021,3,36,2,2,49.22,Top 51%,71.71,Top 28%,70.49,Top 30%
3591,2r_Wz7MAAAAJ,"Onesime Mbulayi, M.Sc.",https://scholar.google.com/citations?hl=en&user=2r_Wz7MAAAAJ,"Research Assistant, University of Kinshasa",Verified email at unikin.ac.cd,"c(""Bioinformatics"", ""Data Science"", ""Genetic"", ""Machine Learning"")",2020,3,36,1,1,49.22,Top 51%,71.71,Top 28%,51.58,Top 48%
3592,V07Wch0AAAAJ,Sahar Behpour,https://scholar.google.com/citations?hl=en&user=V07Wch0AAAAJ,Deloitte,,"c(""Data Science"", ""Machine Learning"", ""Artificial Intelligence"", ""Deep Learning"", ""Physics"")",2018,14,36,3,1,90.47,Top 10%,71.71,Top 28%,81.33,Top 19%
3593,Nxva6YQAAAAJ,Aleksey Devyatkin,https://scholar.google.com/citations?hl=en&user=Nxva6YQAAAAJ,"Saint Petersburg Electrotechnical University ""LETI",Verified email at etu.ru,"c(""Robotics"", ""computer vision"", ""machine learning"", ""data science"")",2017,15,36,4,0,91.49,Top 9%,71.71,Top 28%,87.94,Top 12%
3594,2NbfffIAAAAJ,Hoshang Qasim Awla,https://scholar.google.com/citations?hl=en&user=2NbfffIAAAAJ,Assistant Lecturer at Soran university/ Computer science department,Verified email at soran.edu.iq,"c(""Data Science"", ""Big Data"", ""Bayesian network"")",2022,5,36,4,1,64.55,Top 35%,71.71,Top 28%,87.94,Top 12%
3595,keemZFgAAAAJ,Nikita Bhangale,https://scholar.google.com/citations?hl=en&user=keemZFgAAAAJ,Ph D,,Data science,2020,4,36,3,3,58.06,Top 42%,71.71,Top 28%,81.33,Top 19%
3596,yRM2eUAAAAAJ,Sara Pruckner,https://scholar.google.com/citations?hl=en&user=yRM2eUAAAAAJ,Risilience,Verified email at risilience.com,"c(""Remote sensing"", ""ecology"", ""conservation"", ""marine biodiversity"", ""data science"")",2020,5,36,4,2,64.55,Top 35%,71.71,Top 28%,87.94,Top 12%
3597,1l39oJMAAAAJ,Abdul Motaleb,https://scholar.google.com/citations?hl=en&user=1l39oJMAAAAJ,"MEL Associate, Chemonics International",Verified email at uits.edu.bd,Data Science,2020,4,36,3,1,58.06,Top 42%,71.71,Top 28%,81.33,Top 19%
3598,Vv4YuEEAAAAJ,Lukas Moldon,https://scholar.google.com/citations?hl=en&user=Vv4YuEEAAAAJ,RWTH Aachen University,Verified email at rwth-aachen.de,"c(""Data Science"", ""Machine Learning"", ""Data Mining"", ""Networks"", ""Computational Social Science"")",2020,2,36,2,1,38.05,Top 62%,71.71,Top 28%,70.49,Top 30%
3599,nLiCKloAAAAJ,Venkat Srinidhi Vaddy,https://scholar.google.com/citations?hl=en&user=nLiCKloAAAAJ,University of Washington,Verified email at uw.edu,Data Science,2021,1,36,1,1,22.01,Top 78%,71.71,Top 28%,51.58,Top 48%
3600,qqGt0ykAAAAJ,Rabira Geleta Ibsa,https://scholar.google.com/citations?hl=en&user=qqGt0ykAAAAJ,"Lecturer of CSE, Adama Science and  Technology  University(ASTU)",Verified email at kiit.ac.in,"c(""Cybersecurity"", ""Data science"", ""IOT"", ""and AI"")",2018,7,36,4,2,74.25,Top 26%,71.71,Top 28%,87.94,Top 12%
3601,Qajq3sYAAAAJ,Emese Sükei,https://scholar.google.com/citations?hl=en&user=Qajq3sYAAAAJ,"Postdoctoral researcher, Medical University of Vienna",Verified email at meduniwien.ac.at,"c(""machine learning"", ""data science"", ""medical image analysis"", ""personalised medicine"")",2021,9,36,3,2,81.16,Top 19%,71.71,Top 28%,81.33,Top 19%
3602,Y1wW77oAAAAJ,Guenther Lomas,https://scholar.google.com/citations?hl=en&user=Y1wW77oAAAAJ,Sigtica,Verified email at sigtica.com,"c(""Data Science"", ""Applied Machine Learning for Social Science"")",2018,3,36,2,2,49.22,Top 51%,71.71,Top 28%,70.49,Top 30%
3603,9URICd8AAAAJ,Maria Stylianou,https://scholar.google.com/citations?hl=en&user=9URICd8AAAAJ,University of Manchester,Verified email at postgrad.manchester.ac.uk,"c(""Data Science"", ""Python"", ""Nanomedicine"", ""Cancer Sciences"", ""Brain Cancer Therapy"")",2019,6,36,3,1,70.14,Top 30%,71.71,Top 28%,81.33,Top 19%
3604,Ss40hTsAAAAJ,Serhii Kondratiuk,https://scholar.google.com/citations?hl=en&user=Ss40hTsAAAAJ,Taras Shevchenko National University of Kyiv,Verified email at univ.kiev.ua,"c(""Data Science"", ""Machine Learning"")",2017,15,36,4,1,91.49,Top 9%,71.71,Top 28%,87.94,Top 12%
3605,xZV-uJUAAAAJ,Wenjin Zhang,https://scholar.google.com/citations?hl=en&user=xZV-uJUAAAAJ,"PhD of Interdisciplinary Engineering, Northeastern University",Verified email at northeastern.edu,"c(""machine learning"", ""data science"", ""natural language processing"", ""environmental engineering"", ""wastewater treatment"")",2018,4,36,3,1,58.06,Top 42%,71.71,Top 28%,81.33,Top 19%
3606,#NAME?,Antonio Lacalamita,https://scholar.google.com/citations?hl=en&user=-JM0KeUAAAAJ,University of Bari,Verified email at uniba.it,"c(""physics"", ""computer science"", ""data science"")",2021,8,36,4,1,78.01,Top 22%,71.71,Top 28%,87.94,Top 12%
3607,IStoV6gAAAAJ,Sajid Aslam,https://scholar.google.com/citations?hl=en&user=IStoV6gAAAAJ,Master's degree student of Green Data Science,Verified email at edu.ulisboa.pt,Data Science,2021,4,36,3,1,58.06,Top 42%,71.71,Top 28%,81.33,Top 19%
3608,f2eF5H4AAAAJ,Olivia Alexander,https://scholar.google.com/citations?hl=en&user=f2eF5H4AAAAJ,Universities Space Research Association,Verified email at usra.edu,"c(""Data Science"", ""Machine Learning"", ""Earth Science"")",2019,5,36,3,2,64.55,Top 35%,71.71,Top 28%,81.33,Top 19%
3609,zjPBwRwAAAAJ,Yiyuan Wang,https://scholar.google.com/citations?hl=en&user=zjPBwRwAAAAJ,PhD Candidate in Urban Interfaces Lab at the University of Sydney,Verified email at sydney.edu.au,"c(""human-computer interaction"", ""social robotics"", ""data science"", ""user experience"", ""virtual reality"")",2021,6,36,3,2,70.14,Top 30%,71.71,Top 28%,81.33,Top 19%
3610,2LTB7d0AAAAJ,Dr. B Prabha,https://scholar.google.com/citations?hl=en&user=2LTB7d0AAAAJ,"Assistant Professor of Computer Science and engineering,SRM University, Chennai",Verified email at srmist.edu.in,"c(""Computer Vision"", ""Deep Learning"", ""Data Science"")",2020,17,35,3,1,93.33,Top 7%,71.28,Top 29%,81.33,Top 19%
3611,rZhEPiAAAAAJ,Vijaya Kumari Yeruva,https://scholar.google.com/citations?hl=en&user=rZhEPiAAAAAJ,University of Missouri-Kansas City,Verified email at mail.umkc.edu,"c(""Data Science"", ""Machine learning"", ""Natural Language Processing"")",2017,9,35,4,0,81.16,Top 19%,71.28,Top 29%,87.94,Top 12%
3612,5lvshU4AAAAJ,Mayur Joshi,https://scholar.google.com/citations?hl=en&user=5lvshU4AAAAJ,"Assistant Professor, Telfer School of Management, uOttawa",Verified email at Telfer.uOttawa.ca,"c(""AI"", ""Data Science"", ""Digital Transformation"", ""FinTech"", ""Organization Theory"")",2017,17,35,3,1,93.33,Top 7%,71.28,Top 29%,81.33,Top 19%
3613,sN23okkAAAAJ,Ryan Hannam,https://scholar.google.com/citations?hl=en&user=sN23okkAAAAJ,London Institute of Mathematics,Verified email at lims.ac.uk,"c(""Complex Systems"", ""Data Science"", ""Statistical Physics"", ""Cell biology"")",2017,3,35,3,2,49.22,Top 51%,71.28,Top 29%,81.33,Top 19%
